tmax;alpha;dx;dt;stable;nb_iteration;erreur
500.0;7.33333333333333e-06;0.00836820083682008;11.6666666666667;0;43;1.48878203144575e+21
500.0;7.33333333333333e-06;0.00836820083682008;13.3333333333333;0;38;1.00348248783255e+21
500.0;7.33333333333333e-06;0.00836820083682008;15.0;0;34;3.11164314238646e+20
500.0;7.33333333333333e-06;0.00836820083682008;16.6666666666667;0;30;1.84246551172419e+19
500.0;7.33333333333333e-06;0.00836820083682008;18.3333333333333;0;28;1.20703572600709e+19
500.0;7.33333333333333e-06;0.00836820083682008;20.0;0;26;3.82846957253367e+18
500.0;7.33333333333333e-06;0.00833333333333333;5.0;0;101;1.15097016798562
500.0;7.33333333333333e-06;0.00833333333333333;6.66666666666667;0;76;1.80344901562489e+15
500.0;7.33333333333333e-06;0.00833333333333333;8.33333333333333;0;60;5.73436333550656e+19
500.0;7.33333333333333e-06;0.00833333333333333;10.0;0;51;4.74827521545437e+21
500.0;7.33333333333333e-06;0.00833333333333333;11.6666666666667;0;43;2.33124961036815e+21
500.0;7.33333333333333e-06;0.00833333333333333;13.3333333333333;0;38;1.47238708995948e+21
500.0;7.33333333333333e-06;0.00833333333333333;15.0;0;34;4.34747025415415e+20
500.0;7.33333333333333e-06;0.00833333333333333;16.6666666666667;0;30;2.46012800234347e+19
500.0;7.33333333333333e-06;0.00833333333333333;18.3333333333333;0;28;1.57400509870701e+19
500.0;7.33333333333333e-06;0.00833333333333333;20.0;0;26;4.88213754935561e+18
500.0;7.33333333333333e-06;0.00829875518672199;5.0;0;101;5.64839856140057
500.0;7.33333333333333e-06;0.00829875518672199;6.66666666666667;0;76;4.79133104453178e+15
500.0;7.33333333333333e-06;0.00829875518672199;8.33333333333333;0;60;1.14803417948102e+20
500.0;7.33333333333333e-06;0.00829875518672199;10.0;0;51;8.25269650294085e+21
500.0;7.33333333333333e-06;0.00829875518672199;11.6666666666667;0;43;3.64012204539027e+21
500.0;7.33333333333333e-06;0.00829875518672199;13.3333333333333;0;38;2.15543824627353e+21
500.0;7.33333333333333e-06;0.00829875518672199;15.0;0;34;6.06242899236622e+20
500.0;7.33333333333333e-06;0.00829875518672199;16.6666666666667;0;30;3.27955756222215e+19
500.0;7.33333333333333e-06;0.00829875518672199;18.3333333333333;0;28;2.04958220121638e+19
500.0;7.33333333333333e-06;0.00829875518672199;20.0;0;26;6.21774745873808e+18
500.0;7.33333333333333e-06;0.00826446280991736;5.0;0;101;27.2180394125196
500.0;7.33333333333333e-06;0.00826446280991736;6.66666666666667;0;76;1.26220174198216e+16
500.0;7.33333333333333e-06;0.00826446280991736;8.33333333333333;0;60;2.28657637789585e+20
500.0;7.33333333333333e-06;0.00826446280991736;10.0;0;51;1.42903336890018e+22
500.0;7.33333333333333e-06;0.00826446280991736;11.6666666666667;0;43;5.66799875245441e+21
500.0;7.33333333333333e-06;0.00826446280991736;13.3333333333333;0;38;3.14820985676321e+21
500.0;7.33333333333333e-06;0.00826446280991736;15.0;0;34;8.43782346038373e+20
500.0;7.33333333333333e-06;0.00826446280991736;16.6666666666667;0;30;4.36496251528972e+19
500.0;7.33333333333333e-06;0.00826446280991736;18.3333333333333;0;28;2.66504845260822e+19
500.0;7.33333333333333e-06;0.00826446280991736;20.0;0;26;7.90862234380986e+18
500.0;7.33333333333333e-06;0.00823045267489712;5.0;0;101;128.842257779357
500.0;7.33333333333333e-06;0.00823045267489712;6.66666666666667;0;76;3.29755835079381e+16
500.0;7.33333333333333e-06;0.00823045267489712;8.33333333333333;0;60;4.5312163897671e+20
500.0;7.33333333333333e-06;0.00823045267489712;10.0;0;51;2.46546797619886e+22
500.0;7.33333333333333e-06;0.00823045267489712;11.6666666666667;0;43;8.80130216091896e+21
500.0;7.33333333333333e-06;0.00823045267489712;13.3333333333333;0;38;4.58795474067263e+21
500.0;7.33333333333333e-06;0.00823045267489712;15.0;0;34;1.17219060310374e+21
500.0;7.33333333333333e-06;0.00823045267489712;16.6666666666667;0;30;5.80045171101678e+19
500.0;7.33333333333333e-06;0.00823045267489712;18.3333333333333;0;28;3.46045073459442e+19
500.0;7.33333333333333e-06;0.00823045267489712;20.0;0;26;1.00466114623187e+19
500.0;7.33333333333333e-06;0.00819672131147541;5.0;0;101;599.40716715268
500.0;7.33333333333333e-06;0.00819672131147541;6.66666666666667;0;76;8.54507852791396e+16
500.0;7.33333333333333e-06;0.00819672131147541;8.33333333333333;0;60;8.9346605859108e+20
500.0;7.33333333333333e-06;0.00819672131147541;10.0;0;51;4.23828641046396e+22
500.0;7.33333333333333e-06;0.00819672131147541;11.6666666666667;0;43;1.36296244991234e+22
500.0;7.33333333333333e-06;0.00819672131147541;13.3333333333333;0;38;6.67136236090176e+21
500.0;7.33333333333333e-06;0.00819672131147541;15.0;0;34;1.62539969346839e+21
500.0;7.33333333333333e-06;0.00819672131147541;16.6666666666667;0;30;7.69604010834207e+19
500.0;7.33333333333333e-06;0.00819672131147541;18.3333333333333;0;28;4.48699023566472e+19
500.0;7.33333333333333e-06;0.00819672131147541;20.0;0;26;1.27466363053107e+19
500.0;7.33333333333333e-06;0.00816326530612245;5.0;0;101;2741.7797160581
500.0;7.33333333333333e-06;0.00816326530612245;6.66666666666667;0;76;2.19667703988188e+17
500.0;7.33333333333333e-06;0.00816326530612245;8.33333333333333;0;60;1.75311555589494e+21
500.0;7.33333333333333e-06;0.00816326530612245;10.0;0;51;7.26002439034656e+22
500.0;7.33333333333333e-06;0.00816326530612245;11.6666666666667;0;43;2.10502213063192e+22
500.0;7.33333333333333e-06;0.00816326530612245;13.3333333333333;0;38;9.67970739358849e+21
500.0;7.33333333333333e-06;0.00816326530612245;15.0;0;34;2.2497080328189e+21
500.0;7.33333333333333e-06;0.00816326530612245;16.6666666666667;0;30;1.01954185425675e+20
500.0;7.33333333333333e-06;0.00816326530612245;18.3333333333333;0;28;5.81004426198306e+19
500.0;7.33333333333333e-06;0.00816326530612245;20.0;0;26;1.61523195421564e+19
500.0;7.33333333333333e-06;0.00813008130081301;5.0;0;101;12335.8263372248
500.0;7.33333333333333e-06;0.00813008130081301;6.66666666666667;0;76;5.60283385593679e+17
